time,open,high,low,close,RSI,Histogram,MACD,Signal
2019-09-24T12:00:00Z,197.08,197.08,186.71,192.24,27.282325077994827,-2.069783806114251,-3.575089428157014,-1.5053056220427632
2019-09-24T16:00:00Z,191.96,193.31,152.71,165.37,14.641218693029757,-3.82902341860917,-6.291584895304226,-2.462561476695056
2019-09-24T20:00:00Z,165.34,172.78,160.31,166.9,16.999485504511867,-4.610865262258893,-8.226143054518673,-3.6152777922597794
2019-09-25T00:00:00Z,166.17,175.06,166.17,170.47,22.387605793533567,-4.598410549558431,-9.363290979207818,-4.764880429649387
2019-09-25T04:00:00Z,170.73,171.44,163.61,164.03,19.880430920400187,-4.7170931470488835,-10.66124686346049,-5.944153716411607
2019-09-25T08:00:00Z,164.54,169.38,162.27,166.76,23.777359343540667,-4.3157893454810266,-11.33889039826289,-7.023101052781864
2019-09-25T12:00:00Z,166.53,169.62,164.27,165.08,23.034852306092375,-3.8812044917184076,-11.874606667429873,-7.9934021757114655
2019-09-25T16:00:00Z,166.56,170.55,164.73,168.86,28.448881364425674,-3.0912508807848678,-11.85746577669255,-8.766214895907682
2019-09-25T20:00:00Z,168.84,173.61,168.13,169.97,30.00593493405303,-2.283317267455173,-11.620361480226649,-9.337044212771476
2019-09-26T00:00:00Z,169.84,170.12,167.18,168.48,29.09078849868203,-1.6671891360176225,-11.421030632793503,-9.75384149677588
2019-09-26T04:00:00Z,168.26,169.93,168.03,169.18,30.168325861889087,-1.060018874454462,-11.078865089843958,-10.018846215389496
2019-09-26T08:00:00Z,169.29,171,168.56,168.7,29.833543626713166,-0.5631809464684174,-10.722822398475017,-10.1596414520066
2019-09-26T12:00:00Z,168.63,169.7,157.52,159.56,24.303073650986093,-0.7129196182109663,-11.050790974770308,-10.337871356559342
2019-09-26T16:00:00Z,159.56,165.49,152.26,165,32.34225959266229,-0.3279840013086339,-10.747851358195135,-10.4198673568865
2019-09-26T20:00:00Z,165.11,167.7,162.22,165.71,33.3373454734173,0.07078613226579122,-10.331384691554263,-10.402170823820054
2019-09-27T00:00:00Z,166.32,166.67,163.64,165.28,33.020591036188506,0.38440981086666604,-9.921658560236722,-10.306068371103388
2019-09-27T04:00:00Z,165.44,167.46,163.74,166.95,35.580597619929605,0.7613656158802833,-9.354361351253033,-10.115726967133316
2019-09-27T08:00:00Z,166.57,167.38,164.17,165.25,34.14971506367692,0.9414552912809224,-8.938907853032163,-9.880363144313085
2019-09-27T12:00:00Z,165.24,167.1,161.05,164.15,33.21881442851168,1.024857323447229,-8.599291490004049,-9.624148813451278
